Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Main Workers - Persons,Main Workers - Males,Main Workers - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0104,`33,`000,State - TAMIL NADU,Total,Total,27937977,18959062,8978915,3855375,2512165,1343210,7234101,3808523,3425578,775870,569026,206844,129437,102188,27249,924404,427454,496950,3815400,2802376,1013024,129675,116117,13558,1979455,1694366,285089,3488,3280,208,2300888,1992794,308094,1292101,1251723,40378,484047,408625,75422,3108,2625,483,440634,345760,94874,497198,423795,73403,1106072,911619,194453,1168267,446531,721736,190859,82004,108855,1607598,1058091,549507
B0104,`33,`000,State - TAMIL NADU,Total,`5-9,37865,20918,16947,8745,4810,3935,8846,4660,4186,347,242,105,25,23,2,242,135,107,881,540,341,43,29,14,614,433,181,0,0,0,514,367,147,164,136,28,54,43,11,0,0,0,64,47,17,71,50,21,218,178,40,256,145,111,1208,691,517,15573,8389,7184
B0104,`33,`000,State - TAMIL NADU,Total,`10-14,113886,68602,45284,16351,9356,6995,30489,16845,13644,2658,2074,584,469,334,135,3069,1342,1727,17855,9670,8185,283,232,51,6195,5159,1036,3,3,0,7483,6038,1445,1776,1688,88,1061,956,105,0,0,0,587,399,188,456,354,102,1148,838,310,1067,453,614,1864,896,968,21072,11965,9107
B0104,`33,`000,State - TAMIL NADU,Total,15-19,981763,625342,356421,92014,53925,38089,267967,154615,113352,20963,16943,4020,4580,3395,1185,30383,11214,19169,226111,126955,99156,1700,1473,227,86291,79030,7261,144,138,6,86608,67830,18778,26338,25340,998,11517,10505,1012,54,40,14,4685,2954,1731,5277,4067,1210,14815,10733,4082,10617,2851,7766,8003,3440,4563,83696,49894,33802
B0104,`33,`000,State - TAMIL NADU,Total,20-24,2520991,1696223,824768,234403,134993,99410,580000,317185,262815,48189,38418,9771,9780,7541,2239,75796,29236,46560,485316,342122,143194,7975,7071,904,216393,198545,17848,314,284,30,208937,176328,32609,127354,122837,4517,34555,31403,3152,333,252,81,83857,52921,30936,37889,26790,11099,90829,67827,23002,97743,25435,72308,16061,5965,10096,165267,111070,54197
B0104,`33,`000,State - TAMIL NADU,Total,25-29,3655580,2524031,1131549,367368,221522,145846,829193,430097,399096,77276,59137,18139,14392,11037,3355,116548,46747,69801,607778,456186,151592,12819,11359,1460,307274,274017,33257,515,489,26,297876,265115,32761,208413,202841,5572,52092,46473,5619,558,449,109,136521,103349,33172,73138,58242,14896,141688,111555,30133,172721,66104,106617,22287,8353,13934,217123,150959,66164
B0104,`33,`000,State - TAMIL NADU,Total,30-34,3601561,2493831,1107730,399423,255537,143886,814341,417281,397060,84981,62557,22424,15470,11739,3731,125934,52523,73411,569646,420929,148717,17841,16046,1795,291891,253088,38803,631,588,43,319300,283816,35484,214785,209604,5181,58733,50652,8081,608,502,106,86482,73604,12878,70370,59953,10417,143281,116194,27087,172873,69944,102929,22035,8599,13436,192936,130675,62261
B0104,`33,`000,State - TAMIL NADU,Total,35-39,3769261,2468181,1301080,456462,280299,176163,948959,454697,494262,99645,69640,30005,19431,14312,5119,131666,53927,77739,542041,384399,157642,21006,19036,1970,296930,245015,51915,519,486,33,325244,281045,44199,203986,198585,5401,69015,56498,12517,509,449,60,47686,41609,6077,68323,58065,10258,146346,118182,28164,179934,64984,114950,23842,9250,14592,187717,117703,70014
B0104,`33,`000,State - TAMIL NADU,Total,40-49,6406577,4320842,2085735,898778,576724,322054,1677685,870522,807163,193841,137839,56002,37241,30162,7079,220191,105268,114923,781120,590061,191059,41084,37039,4045,452623,376581,76042,738,701,37,541769,469774,71995,306251,295974,10277,133677,110170,23507,661,598,63,46722,41080,5642,122529,106462,16067,285491,237971,47520,316659,118369,198290,41245,17527,23718,308272,198020,110252
B0104,`33,`000,State - TAMIL NADU,Total,50-59,4103258,2828382,1274876,709041,475025,234016,1128275,599139,529136,143064,103737,39327,20788,17710,3078,130573,71612,58961,396033,320886,75147,22417,19925,2492,216426,178964,37462,386,365,21,322962,281374,41588,168058,161051,7007,81209,67585,13624,252,229,23,27869,24188,3681,93668,85531,8137,222791,193917,28874,180800,76516,104284,28662,13559,15103,209984,137069,72915
